#time interval; alpha avg; cmf avg; vspoles avg; alpha std; cmf std; vspoles std
20110520-20110610 51.49 4.85 632.52 10.69 1.87 22.41
20110611-20110707 53.61 4.87 627.62 9.80 1.82 22.70
20110708-20110803 55.39 4.92 622.22 9.63 1.83 22.70
20110804-20110830 57.12 4.95 616.76 9.44 1.86 22.80
20110831-20110926 58.72 5.05 611.21 9.59 1.92 23.02
20110927-20111023 60.37 5.11 605.58 9.14 1.91 23.34
20111024-20111119 62.16 5.16 599.87 7.71 1.98 23.76
20111120-20111216 63.67 5.17 594.07 6.51 2.00 24.23
20111217-20120112 64.99 5.21 588.18 5.10 2.01 24.74
20120113-20120208 66.08 5.30 582.21 3.73 2.10 25.28
20120209-20120306 66.44 5.42 576.16 2.87 2.13 25.81
20120307-20120402 66.28 5.46 570.02 3.12 2.11 26.32
20120403-20120429 66.28 5.41 563.79 3.16 2.11 26.79
20120430-20120526 66.83 5.43 557.48 3.66 2.13 27.20
20120527-20120622 67.58 5.54 551.09 4.02 2.27 27.54
20120623-20120719 68.24 5.60 544.61 4.19 2.41 27.77
20120720-20120815 68.71 5.61 538.05 4.31 2.41 27.90
20120816-20120911 69.06 5.66 531.51 4.35 2.40 27.73
20120912-20121008 69.30 5.73 525.15 4.45 2.48 27.31
20121009-20121104 69.39 5.67 518.97 4.48 2.46 26.69
20121105-20121201 68.89 5.67 512.96 4.92 2.55 25.90
20121202-20121228 69.43 5.62 507.12 4.82 2.58 24.98
20121229-20130124 69.57 5.65 501.47 4.71 2.58 23.97
20130125-20130220 69.27 5.60 495.98 4.87 2.52 22.89
20130221-20130319 70.00 5.59 490.68 4.66 2.57 21.79
20130320-20130415 70.67 5.49 485.54 3.50 2.51 20.71
20130416-20130512 71.06 5.47 480.59 2.86 2.52 19.68
20130513-20130608 71.10 5.49 475.81 2.81 2.55 18.77
20130609-20130705 70.99 5.48 471.21 2.70 2.56 18.02
20130706-20130801 70.56 5.47 466.82 2.60 2.51 17.40
20130802-20130828 70.24 5.34 462.75 2.50 2.35 16.78
20130829-20130924 70.10 5.29 459.08 2.43 2.35 16.20
20130925-20131021 69.73 5.24 455.64 2.42 2.36 15.39
20131022-20131117 69.37 5.19 452.42 2.37 2.24 14.41
20131118-20131214 69.33 5.18 449.43 2.30 2.13 13.28
20131215-20140110 69.16 5.17 446.65 2.40 2.08 12.05
20140111-20140206 68.90 5.23 444.10 2.21 2.10 10.74
20140207-20140305 68.38 5.32 441.77 2.88 2.12 9.40
20140306-20140401 67.99 5.29 439.66 3.09 2.11 8.06
20140402-20140428 66.97 5.33 437.77 3.88 2.13 6.76
20140429-20140525 65.64 5.34 436.10 5.70 2.12 5.58
20140526-20140621 64.16 5.34 434.66 6.99 2.12 4.59
20140622-20140718 63.13 5.29 433.44 6.85 2.06 3.91
20140719-20140814 62.31 5.20 432.43 6.53 1.94 3.63
20140815-20140910 62.24 5.32 431.79 6.48 2.09 3.37
20140911-20141007 62.41 5.47 432.08 6.69 2.31 4.15
20141201-20141227 59.83 6.00 440.41 6.59 2.49 19.74
20141228-20150123 58.86 6.16 445.68 6.68 2.52 26.46
20150124-20150219 57.75 6.29 452.21 6.77 2.51 33.39
20150220-20150318 56.37 6.33 459.99 6.97 2.58 40.31
20150319-20150414 55.16 6.48 469.01 7.51 2.65 47.06
20150415-20150511 54.35 6.52 479.28 7.50 2.65 53.44
20150512-20150607 54.18 6.56 490.81 7.49 2.66 59.28
20150608-20150704 54.20 6.62 503.58 7.49 2.71 64.37
20150705-20150731 54.06 6.69 517.61 7.53 2.70 68.49
20150801-20150827 53.40 6.83 532.73 7.51 2.70 71.09
20150828-20150923 52.54 6.89 548.38 7.13 2.64 71.06
20150924-20151020 51.26 6.81 563.98 5.40 2.54 69.10
20151021-20151116 50.12 6.82 578.98 2.93 2.58 66.15
20151117-20151213 49.90 6.76 593.24 2.73 2.59 62.60
20151214-20160109 49.67 6.74 606.76 2.51 2.63 58.60
20160110-20160205 49.33 6.64 619.53 2.21 2.55 54.26
20160206-20160303 49.13 6.63 631.55 2.21 2.57 49.71
20160304-20160330 48.94 6.59 642.84 2.40 2.59 45.10
20160331-20160426 48.82 6.54 653.38 2.62 2.48 40.58
20160427-20160523 48.66 6.54 663.17 2.89 2.40 36.34
20160524-20160619 47.95 6.46 672.23 3.41 2.37 32.63
20160620-20160716 47.15 6.44 680.53 3.79 2.37 29.73
20160717-20160812 46.57 6.42 688.00 4.20 2.36 27.75
20160813-20160908 45.96 6.40 694.14 4.40 2.34 26.22
20160909-20161005 45.51 6.27 699.34 4.39 2.21 24.54
20161006-20161101 44.97 6.27 703.88 4.23 2.33 22.36
20161102-20161128 44.24 6.24 707.78 4.02 2.34 19.83
20161129-20161225 43.50 6.13 711.03 3.76 2.26 17.11
20161226-20170121 42.66 5.99 713.63 3.48 2.23 14.36
20170122-20170217 41.48 5.88 715.59 3.52 2.16 11.81
20170218-20170316 40.25 5.74 716.90 4.11 2.11 9.75
20170317-20170412 39.06 5.67 717.56 4.40 2.09 8.58
20170413-20170509 38.19 5.60 717.57 4.59 2.08 8.55
20170510-20170605 37.42 5.56 716.94 4.70 2.15 9.42
20170606-20170702 36.60 5.53 715.66 4.86 2.17 10.64
20170703-20170729 35.55 5.52 713.73 5.64 2.23 11.71
20170730-20170825 34.40 5.46 711.23 6.27 2.17 12.11
20170826-20170921 33.69 5.44 708.49 6.23 2.15 11.85
