#time interval; alpha avg; cmf avg; vspoles avg; alpha std; cmf std; vspoles std
20060707-20060726 37.39 5.41 737.44 3.34 2.27 2.47
20060727-20060822 37.34 5.34 736.94 3.32 2.18 2.57
20060824-20060919 36.53 5.24 736.28 4.10 2.17 2.61
20060920-20061016 35.67 5.10 735.58 4.18 2.02 2.75
20061017-20061112 34.95 5.08 734.81 4.07 2.07 3.02
20061113-20061204 34.32 5.10 734.06 3.56 2.09 3.28
20070111-20070202 33.73 4.98 731.94 3.01 2.07 4.26
20070203-20070302 33.39 4.96 730.89 3.16 2.05 4.77
20070303-20070329 33.27 4.93 729.71 3.04 2.08 5.23
20070330-20070425 32.81 4.89 728.47 2.73 2.08 5.68
20070426-20070522 32.51 4.83 727.16 2.30 2.06 6.10
20070523-20070617 32.27 4.82 725.80 2.16 2.06 6.46
20070627-20070716 31.95 4.82 724.07 2.13 2.06 6.74
20070717-20070812 31.74 4.74 722.73 1.92 2.03 7.00
20070813-20070906 31.31 4.74 721.26 1.58 2.02 6.99
20070909-20071006 31.14 4.64 719.64 1.56 1.95 6.86
20071007-20071102 31.33 4.61 718.10 1.29 1.91 6.57
20071103-20071129 31.40 4.60 716.67 1.21 1.93 6.24
20071130-20071227 31.45 4.52 715.27 1.23 1.88 5.89
20071228-20080123 31.63 4.45 713.94 1.58 1.85 5.48
20080124-20080219 31.79 4.41 712.69 1.75 1.81 5.08
20080220-20080317 32.14 4.38 711.51 1.97 1.78 4.68
20080319-20080414 32.42 4.37 710.36 2.13 1.75 4.29
20080415-20080511 32.56 4.35 709.31 2.19 1.72 3.94
20080512-20080607 32.67 4.37 708.33 2.23 1.69 3.66
20080608-20080704 32.47 4.30 707.41 2.32 1.58 3.45
20080705-20080801 32.42 4.26 706.53 2.34 1.57 3.33
20080802-20080828 32.50 4.23 705.83 2.30 1.55 3.17
20080829-20080911 32.41 4.23 705.39 2.48 1.55 2.89
20081001-20081021 31.89 4.24 705.10 3.30 1.53 2.54
20081022-20081118 31.71 4.22 705.22 3.38 1.52 2.65
20081119-20081215 31.08 4.21 705.47 4.22 1.54 3.14
20081220-20090111 30.40 4.18 705.96 4.77 1.45 3.99
20090112-20090208 29.73 4.19 706.75 4.87 1.46 5.02
20090221-20090307 28.65 4.13 707.80 4.85 1.47 6.21
20090308-20090403 27.80 4.12 708.95 5.02 1.51 7.22
20090404-20090501 26.46 4.07 710.45 5.33 1.51 8.31
20090502-20090528 25.54 4.01 712.16 4.81 1.48 9.27
20090529-20090624 24.61 3.99 714.09 4.29 1.47 10.08
20090625-20090721 23.82 4.00 716.14 3.90 1.51 10.48
20090722-20090818 22.59 3.99 718.01 4.48 1.51 10.19
20090819-20090914 21.31 3.96 719.59 4.45 1.48 9.09
20090915-20091011 20.03 3.96 720.58 4.79 1.46 8.01
20091012-20091107 19.96 3.93 721.01 4.55 1.48 7.37
20091108-20091205 20.45 3.90 720.85 5.52 1.48 7.62
20091206-20100101 21.97 3.91 720.19 8.69 1.43 8.81
20100102-20100123 23.11 3.92 719.27 9.83 1.42 10.34
