#time interval; alpha avg; cmf avg; vspoles avg; alpha std; cmf std; vspoles std
20100103-20100130 23.46 3.93 718.82 10.08 1.42 10.80
20100130-20100227 24.83 4.03 716.92 11.18 1.49 13.07
20100227-20100326 26.02 4.10 714.52 11.88 1.47 15.38
20101030-20101126 40.88 4.59 672.34 5.73 1.62 22.76
20101126-20101224 42.18 4.61 666.84 4.92 1.61 22.81
20101224-20110120 43.01 4.66 661.33 5.58 1.59 22.76
20110120-20110216 43.83 4.70 655.93 6.64 1.60 22.76
20110216-20110316 45.40 4.73 650.43 8.56 1.71 22.81
20110316-20110412 47.24 4.79 644.93 10.28 1.82 22.76
20110412-20110509 49.02 4.77 639.52 10.82 1.82 22.76
20110509-20110605 50.86 4.82 634.12 10.87 1.87 22.76
20110605-20110703 53.14 4.86 628.62 10.07 1.82 22.82
20110703-20110730 55.14 4.91 623.12 9.62 1.84 22.76
20110826-20110922 58.53 5.00 612.14 9.65 1.88 23.03
20111019-20111116 61.85 5.18 600.71 8.01 1.98 23.82
20111116-20111213 63.48 5.18 594.82 6.66 1.99 24.23
20111213-20120109 64.76 5.22 588.95 5.31 2.01 24.74
20120109-20120206 65.97 5.29 582.87 3.91 2.10 25.35
20120206-20120304 66.41 5.38 576.72 2.92 2.10 25.82
20120331-20120428 66.29 5.43 564.25 3.15 2.12 26.89
20120525-20120621 67.54 5.55 551.44 4.01 2.27 27.59
20120815-20120911 69.06 5.66 531.64 4.35 2.39 27.80
20120911-20121008 69.31 5.73 525.28 4.45 2.47 27.39
20121008-20121104 69.39 5.68 519.09 4.48 2.45 26.77
20121104-20121202 69.07 5.68 512.98 4.64 2.55 26.02
20121202-20121229 69.33 5.63 507.03 4.69 2.58 25.02
20121229-20130125 69.58 5.66 501.37 4.70 2.59 24.01
20130125-20130222 69.39 5.60 495.81 4.75 2.51 22.97
20130222-20130321 69.94 5.59 490.40 4.54 2.57 21.79
20130611-20130708 70.93 5.50 470.79 2.67 2.56 18.01
20130708-20130804 70.56 5.47 466.44 2.57 2.51 17.40
20130804-20130831 70.21 5.34 462.40 2.50 2.35 16.78
20130831-20130928 70.05 5.27 458.71 2.42 2.36 16.19
20130928-20131025 69.69 5.23 455.22 2.39 2.36 15.31
20131121-20131219 69.33 5.17 449.03 2.26 2.13 13.16
20140115-20140211 68.77 5.24 443.71 2.25 2.10 10.55
