#time interval; alpha avg; cmf avg; alpha std; cmf std
20110520-20110610 51.49 4.85 10.69 1.87
20110611-20110707 53.61 4.87 9.80 1.82
20110708-20110803 55.39 4.92 9.63 1.83
20110804-20110830 57.12 4.95 9.44 1.86
20110831-20110926 58.72 5.05 9.59 1.92
20110927-20111023 60.37 5.11 9.14 1.91
20111024-20111119 62.16 5.16 7.71 1.98
20111120-20111216 63.67 5.17 6.51 2.00
20111217-20120112 64.99 5.21 5.10 2.01
20120113-20120208 66.08 5.30 3.73 2.10
20120209-20120306 66.44 5.42 2.87 2.13
20120307-20120402 66.28 5.46 3.12 2.11
20120403-20120429 66.28 5.41 3.16 2.11
20120430-20120526 66.83 5.43 3.66 2.13
20120527-20120622 67.58 5.54 4.02 2.27
20120623-20120719 68.24 5.60 4.19 2.41
20120720-20120815 68.71 5.61 4.31 2.41
20120816-20120911 69.06 5.66 4.35 2.40
20120912-20121008 69.30 5.73 4.45 2.48
20121009-20121104 69.39 5.67 4.48 2.46
20121105-20121201 68.89 5.67 4.92 2.55
20121202-20121228 69.43 5.62 4.82 2.58
20121229-20130124 69.57 5.65 4.71 2.58
20130125-20130220 69.27 5.60 4.87 2.52
20130221-20130319 70.00 5.59 4.66 2.57
20130320-20130415 70.67 5.49 3.50 2.51
20130416-20130512 71.06 5.47 2.86 2.52
20130513-20130608 71.10 5.49 2.81 2.55
20130609-20130705 70.99 5.48 2.70 2.56
20130706-20130801 70.56 5.47 2.60 2.51
20130802-20130828 70.24 5.34 2.50 2.35
20130829-20130924 70.10 5.29 2.43 2.35
20130925-20131021 69.73 5.24 2.42 2.36
20131022-20131117 69.37 5.19 2.37 2.24
20131118-20131214 69.33 5.18 2.30 2.13
20131215-20140110 69.16 5.17 2.40 2.08
20140111-20140206 68.90 5.23 2.21 2.10
20140207-20140305 68.38 5.32 2.88 2.12
20140306-20140401 67.99 5.29 3.09 2.11
20140402-20140428 66.97 5.33 3.88 2.13
20140429-20140525 65.64 5.34 5.70 2.12
20140526-20140621 64.16 5.34 6.99 2.12
20140622-20140718 63.13 5.29 6.85 2.06
20140719-20140814 62.31 5.20 6.53 1.94
20140815-20140910 62.24 5.32 6.48 2.09
20140911-20141007 62.41 5.47 6.69 2.31
20141201-20141227 59.83 6.00 6.59 2.49
20141228-20150123 58.86 6.16 6.68 2.52
20150124-20150219 57.75 6.29 6.77 2.51
20150220-20150318 56.37 6.33 6.97 2.58
20150319-20150414 55.16 6.48 7.51 2.65
20150415-20150511 54.35 6.52 7.50 2.65
20150512-20150607 54.18 6.56 7.49 2.66
20150608-20150704 54.20 6.62 7.49 2.71
20150705-20150731 54.06 6.69 7.53 2.70
20150801-20150827 53.40 6.83 7.51 2.70
20150828-20150923 52.54 6.89 7.13 2.64
20150924-20151020 51.26 6.81 5.40 2.54
20151021-20151116 50.12 6.82 2.93 2.58
20151117-20151213 49.90 6.76 2.73 2.59
20151214-20160109 49.67 6.74 2.51 2.63
20160110-20160205 49.33 6.64 2.21 2.55
20160206-20160303 49.13 6.63 2.21 2.57
20160304-20160330 48.94 6.59 2.40 2.59
20160331-20160426 48.82 6.54 2.62 2.48
20160427-20160523 48.66 6.54 2.89 2.40
20160524-20160619 47.95 6.46 3.41 2.37
20160620-20160716 47.15 6.44 3.79 2.37
20160717-20160812 46.57 6.42 4.20 2.36
20160813-20160908 45.96 6.40 4.40 2.34
20160909-20161005 45.51 6.27 4.39 2.21
20161006-20161101 44.97 6.27 4.23 2.33
20161102-20161128 44.24 6.24 4.02 2.34
20161129-20161225 43.50 6.13 3.76 2.26
20161226-20170121 42.66 5.99 3.48 2.23
20170122-20170217 41.48 5.88 3.52 2.16
20170218-20170316 40.25 5.74 4.11 2.11
20170317-20170412 39.06 5.67 4.40 2.09
20170413-20170509 38.19 5.60 4.59 2.08
20170510-20170605 37.42 5.56 4.70 2.15
20170606-20170702 36.60 5.53 4.86 2.17
20170703-20170729 35.55 5.52 5.64 2.23
20170730-20170825 34.40 5.46 6.27 2.17
20170826-20170921 33.69 5.44 6.23 2.15
20170922-20171018 32.90 5.39 5.90 2.17
20171019-20171114 31.95 5.29 5.28 2.04
20171115-20171211 31.00 5.25 4.64 2.03
20171212-20180107 30.06 5.23 4.13 2.03
20180108-20180203 29.09 5.18 3.27 2.00
20180204-20180302 28.19 5.17 3.04 1.97
20180303-20180329 27.37 5.17 3.56 2.00
20180330-20180425 26.58 5.15 4.21 1.99
20180426-20180522 25.62 5.10 4.68 1.94
20180523-20180618 24.83 5.02 4.65 1.97
20180619-20180715 24.35 4.98 4.28 1.88
20180716-20180811 24.03 4.95 4.15 1.82
20180908-20181004 24.12 4.83 4.06 1.77
20181101-20181127 23.19 4.75 3.42 1.70
20181128-20181224 22.72 4.70 3.03 1.65
20181225-20190120 22.27 4.66 2.92 1.62
20190121-20190216 21.64 4.67 2.98 1.61
20190217-20190315 21.27 4.67 2.90 1.60
20190316-20190411 21.30 4.64 2.90 1.54
20190509-20190604 21.90 4.66 2.66 1.58
20190702-20190728 21.75 4.65 2.55 1.51
20190825-20190920 20.83 4.58 2.86 1.49
20190921-20191017 20.14 4.55 2.89 1.36
20191018-20191029 19.57 4.54 2.66 1.39
