#time interval; alpha avg; cmf avg; alpha std; cmf std
20060707-20060726 37.39 5.41 3.34 2.27
20060727-20060822 37.34 5.34 3.32 2.18
20060824-20060919 36.53 5.24 4.10 2.17
20060920-20061016 35.67 5.10 4.18 2.02
20061017-20061112 34.95 5.08 4.07 2.07
20061113-20061204 34.32 5.10 3.56 2.09
20070111-20070202 33.73 4.98 3.01 2.07
20070203-20070302 33.39 4.96 3.16 2.05
20070303-20070329 33.27 4.93 3.04 2.08
20070330-20070425 32.81 4.89 2.73 2.08
20070426-20070522 32.51 4.83 2.30 2.06
20070523-20070617 32.27 4.82 2.16 2.06
20070627-20070716 31.95 4.82 2.13 2.06
20070717-20070812 31.74 4.74 1.92 2.03
20070813-20070906 31.31 4.74 1.58 2.02
20070909-20071006 31.14 4.64 1.56 1.95
20071007-20071102 31.33 4.61 1.29 1.91
20071103-20071129 31.40 4.60 1.21 1.93
20071130-20071227 31.45 4.52 1.23 1.88
20071228-20080123 31.63 4.45 1.58 1.85
20080124-20080219 31.79 4.41 1.75 1.81
20080220-20080317 32.14 4.38 1.97 1.78
20080319-20080414 32.42 4.37 2.13 1.75
20080415-20080511 32.56 4.35 2.19 1.72
20080512-20080607 32.67 4.37 2.23 1.69
20080608-20080704 32.47 4.30 2.32 1.58
20080705-20080801 32.42 4.26 2.34 1.57
20080802-20080828 32.50 4.23 2.30 1.55
20080829-20080911 32.41 4.23 2.48 1.55
20081001-20081021 31.89 4.24 3.30 1.53
20081022-20081118 31.71 4.22 3.38 1.52
20081119-20081215 31.08 4.21 4.22 1.54
20081220-20090111 30.40 4.18 4.77 1.45
20090112-20090208 29.73 4.19 4.87 1.46
20090221-20090307 28.65 4.13 4.85 1.47
20090308-20090403 27.80 4.12 5.02 1.51
20090404-20090501 26.46 4.07 5.33 1.51
20090502-20090528 25.54 4.01 4.81 1.48
20090529-20090624 24.61 3.99 4.29 1.47
20090625-20090721 23.82 4.00 3.90 1.51
20090722-20090818 22.59 3.99 4.48 1.51
20090819-20090914 21.31 3.96 4.45 1.48
20090915-20091011 20.03 3.96 4.79 1.46
20091012-20091107 19.96 3.93 4.55 1.48
20091108-20091205 20.45 3.90 5.52 1.48
20091206-20100101 21.97 3.91 8.69 1.43
20100102-20100123 23.11 3.92 9.83 1.42
