#time interval; alpha avg; cmf avg; alpha std; cmf std
20100103-20100130 23.46 3.93 10.08 1.42
20100130-20100227 24.83 4.03 11.18 1.49
20100227-20100326 26.02 4.10 11.88 1.47
20101030-20101126 40.88 4.59 5.73 1.62
20101126-20101224 42.18 4.61 4.92 1.61
20101224-20110120 43.01 4.66 5.58 1.59
20110120-20110216 43.83 4.70 6.64 1.60
20110216-20110316 45.40 4.73 8.56 1.71
20110316-20110412 47.24 4.79 10.28 1.82
20110412-20110509 49.02 4.77 10.82 1.82
20110509-20110605 50.86 4.82 10.87 1.87
20110605-20110703 53.14 4.86 10.07 1.82
20110703-20110730 55.14 4.91 9.62 1.84
20110826-20110922 58.53 5.00 9.65 1.88
20111019-20111116 61.85 5.18 8.01 1.98
20111116-20111213 63.48 5.18 6.66 1.99
20111213-20120109 64.76 5.22 5.31 2.01
20120109-20120206 65.97 5.29 3.91 2.10
20120206-20120304 66.41 5.38 2.92 2.10
20120331-20120428 66.29 5.43 3.15 2.12
20120525-20120621 67.54 5.55 4.01 2.27
20120815-20120911 69.06 5.66 4.35 2.39
20120911-20121008 69.31 5.73 4.45 2.47
20121008-20121104 69.39 5.68 4.48 2.45
20121104-20121202 69.07 5.68 4.64 2.55
20121202-20121229 69.33 5.63 4.69 2.58
20121229-20130125 69.58 5.66 4.70 2.59
20130125-20130222 69.39 5.60 4.75 2.51
20130222-20130321 69.94 5.59 4.54 2.57
20130611-20130708 70.93 5.50 2.67 2.56
20130708-20130804 70.56 5.47 2.57 2.51
20130804-20130831 70.21 5.34 2.50 2.35
20130831-20130928 70.05 5.27 2.42 2.36
20130928-20131025 69.69 5.23 2.39 2.36
20131121-20131219 69.33 5.17 2.26 2.13
20140115-20140211 68.77 5.24 2.25 2.10
